,date,f0,f1,f2,f3,f4,f5,f6,f7,f8
0,1950-01-01,-0.025547,-0.29454,-0.43889,-0.53845,-0.21581,0.0044815,-0.12887,0.051841,0.085791
1,1950-02-01,0.092241,-0.20626,-0.45672,-0.52623,-0.21438,0.0032649,-0.12956,0.051858,0.085784
2,1950-03-01,0.091614,-0.11494,-0.46601,-0.50735,-0.21291,0.0021594,-0.13022,0.05187,0.085777
3,1950-04-01,-0.029861,-0.018285,-0.46645,-0.48198,-0.21139,0.001161,-0.13084,0.051877,0.085769
4,1950-05-01,-0.081061,0.092434,-0.45742,-0.45061,-0.20982,0.00026607,-0.13142,0.051878,0.085762
5,1950-06-01,-0.081246,0.23634,-0.43823,-0.41378,-0.2082,-0.00052874,-0.13198,0.051875,0.085755
6,1950-07-01,0.07537,0.40751,-0.40821,-0.37203,-0.20653,-0.0012265,-0.13249,0.051866,0.085747
7,1950-08-01,-0.018363,0.51294,-0.36667,-0.32589,-0.20481,-0.0018303,-0.13297,0.051851,0.08574
8,1950-09-01,-0.065202,0.4554,-0.31307,-0.2759,-0.20303,-0.0023432,-0.13342,0.051832,0.085733
9,1950-10-01,0.064017,0.20652,-0.24767,-0.22261,-0.2012,-0.0027684,-0.13382,0.051807,0.085725
10,1950-11-01,0.03525,-0.097637,-0.17195,-0.16655,-0.19931,-0.0031089,-0.13418,0.051776,0.085718
11,1950-12-01,-0.054299,-0.35199,-0.08765,-0.10827,-0.19736,-0.0033678,-0.13451,0.051741,0.08571
12,1951-01-01,-0.080261,-0.47885,0.0036991,-0.048294,-0.19536,-0.0035483,-0.13479,0.0517,0.085703
13,1951-02-01,0.032733,-0.4515,0.10057,0.012829,-0.19329,-0.0036535,-0.13504,0.051653,0.085695
14,1951-03-01,0.039559,-0.31958,0.19825,0.074562,-0.19116,-0.0036864,-0.13524,0.051601,0.085687
15,1951-04-01,0.11289,-0.14965,0.29117,0.13637,-0.18896,-0.0036501,-0.13539,0.051543,0.08568
16,1951-05-01,0.014132,0.002985,0.37379,0.1977,-0.1867,-0.0035482,-0.13551,0.05148,0.085672
17,1951-06-01,-0.040457,0.12816,0.44053,0.25803,-0.18438,-0.0033842,-0.13557,0.051411,0.085664
18,1951-07-01,-0.14337,0.22447,0.48584,0.31681,-0.18198,-0.0031616,-0.13559,0.051337,0.085657
19,1951-08-01,-0.080158,0.28356,0.50415,0.37351,-0.17952,-0.0028838,-0.13557,0.051257,0.085649
20,1951-09-01,-0.04618,0.30691,0.48991,0.42758,-0.17699,-0.0025544,-0.13549,0.051172,0.085641
21,1951-10-01,0.1601,0.29692,0.43969,0.47849,-0.17439,-0.0021766,-0.13536,0.051081,0.085633
22,1951-11-01,0.036908,0.2508,0.3585,0.52583,-0.17171,-0.0017537,-0.13519,0.050984,0.085625
23,1951-12-01,-0.030857,0.1769,0.25346,0.5692,-0.16896,-0.0012888,-0.13496,0.050882,0.085618
24,1952-01-01,-0.16161,0.086898,0.13169,0.60823,-0.16613,-0.00078468,-0.13468,0.050774,0.08561
25,1952-02-01,-0.074868,-0.0064059,0.00028436,0.64254,-0.16323,-0.00024422,-0.13434,0.05066,0.085602
26,1952-03-01,0.0054492,-0.08583,-0.13364,0.67175,-0.16025,0.00032968,-0.13395,0.050542,0.085594
27,1952-04-01,0.15276,-0.13152,-0.26296,0.69549,-0.15719,0.00093417,-0.13351,0.050418,0.085586
28,1952-05-01,0.14054,-0.12382,-0.38046,0.71337,-0.15405,0.0015665,-0.13302,0.050288,0.085578
29,1952-06-01,-0.030355,-0.07108,-0.47824,0.72502,-0.15082,0.002224,-0.13247,0.050153,0.08557
30,1952-07-01,-0.13808,-0.0030445,-0.54803,0.73005,-0.14752,0.0029039,-0.13187,0.050013,0.085562
31,1952-08-01,-0.058738,0.048778,-0.58184,0.7281,-0.14412,0.0036035,-0.13121,0.049868,0.085554
32,1952-09-01,0.12519,0.058154,-0.57069,0.71888,-0.14063,0.0043202,-0.13049,0.049718,0.085545
33,1952-10-01,0.019747,0.01581,-0.5116,0.70263,-0.13703,0.0050511,-0.12972,0.049562,0.085537
34,1952-11-01,-0.10855,-0.037963,-0.41193,0.67994,-0.13331,0.0057937,-0.12889,0.049402,0.085529
35,1952-12-01,-0.097296,-0.052927,-0.28498,0.6514,-0.12948,0.0065452,-0.12801,0.049236,0.085521
36,1953-01-01,0.049602,-0.012426,-0.1441,0.61765,-0.12553,0.0073028,-0.12707,0.049065,0.085513
37,1953-02-01,0.076171,0.047069,0.0025337,0.5793,-0.12146,0.008064,-0.12608,0.048889,0.085504
38,1953-03-01,-0.064388,0.07859,0.14806,0.53698,-0.11725,0.0088259,-0.12502,0.048709,0.085496
39,1953-04-01,-0.037326,0.053272,0.28598,0.49129,-0.11291,0.0095859,-0.12391,0.048523,0.085488
40,1953-05-01,0.038834,-0.0058918,0.4112,0.44287,-0.10842,0.010341,-0.12274,0.048333,0.085479
41,1953-06-01,0.03924,-0.069886,0.51893,0.39232,-0.10379,0.011089,-0.12151,0.048138,0.085471
42,1953-07-01,-0.039069,-0.1314,0.6042,0.34028,-0.099013,0.011827,-0.12022,0.047938,0.085463
43,1953-08-01,-0.018257,-0.16388,0.66199,0.28736,-0.094078,0.012552,-0.11888,0.047733,0.085454
44,1953-09-01,0.054259,-0.1163,0.68813,0.23413,-0.088983,0.013262,-0.11747,0.047524,0.085446
45,1953-10-01,-0.025882,0.016081,0.68186,0.18096,-0.083723,0.013954,-0.116,0.04731,0.085437
46,1953-11-01,-0.083007,0.15718,0.64337,0.12808,-0.078293,0.014624,-0.11448,0.047091,0.085429
47,1953-12-01,-0.047521,0.23609,0.57378,0.075673,-0.072689,0.015271,-0.11289,0.046868,0.08542
48,1954-01-01,0.11258,0.21549,0.47821,0.023922,-0.066905,0.015892,-0.11124,0.04664,0.085411
49,1954-02-01,0.10203,0.083197,0.36393,-0.026981,-0.060937,0.016484,-0.10953,0.046408,0.085403
50,1954-03-01,-0.050122,-0.097596,0.2385,-0.076848,-0.054779,0.017044,-0.10776,0.046171,0.085394
51,1954-04-01,-0.13377,-0.24477,0.1095,-0.12549,-0.048428,0.01757,-0.10593,0.04593,0.085386
52,1954-05-01,-0.016454,-0.29853,-0.0155,-0.17272,-0.041877,0.018058,-0.10404,0.045685,0.085377
53,1954-06-01,0.12364,-0.28754,-0.12986,-0.21835,-0.035123,0.018507,-0.10208,0.045435,0.085368
54,1954-07-01,0.12345,-0.25153,-0.23097,-0.26219,-0.028161,0.018913,-0.10006,0.045181,0.085359
55,1954-08-01,-0.010158,-0.19811,-0.31827,-0.30405,-0.020985,0.019274,-0.097974,0.044923,0.085351
56,1954-09-01,-0.082005,-0.12294,-0.39149,-0.34374,-0.01359,0.019587,-0.095827,0.04466,0.085342
57,1954-10-01,0.0045278,-0.022837,-0.4506,-0.38107,-0.0059729,0.01985,-0.093616,0.044394,0.085333
58,1954-11-01,0.056274,0.096141,-0.49659,-0.41587,0.0018726,0.020061,-0.091342,0.044123,0.085324
59,1954-12-01,-0.010434,0.21869,-0.53066,-0.44793,0.0099509,0.020217,-0.089005,0.043848,0.085315
60,1955-01-01,-0.051485,0.30174,-0.55404,-0.47707,0.018267,0.020317,-0.086605,0.04357,0.085306
61,1955-02-01,0.061355,0.31849,-0.56837,-0.5031,0.026826,0.02036,-0.084145,0.043287,0.085297
62,1955-03-01,-0.019852,0.3199,-0.57685,-0.52583,0.035632,0.020344,-0.081624,0.043,0.085289
63,1955-04-01,-0.10541,0.31971,-0.58312,-0.54508,0.04469,0.020267,-0.079044,0.04271,0.08528
64,1955-05-01,-0.087037,0.31301,-0.59074,-0.56065,0.054005,0.02013,-0.076406,0.042415,0.085271
65,1955-06-01,0.054469,0.28303,-0.60232,-0.57236,0.06358,0.019931,-0.073711,0.042117,0.085262
66,1955-07-01,0.12977,0.21889,-0.61784,-0.58,0.073406,0.019669,-0.070962,0.041815,0.085252
67,1955-08-01,0.24601,0.11256,-0.63661,-0.58337,0.083474,0.019344,-0.06816,0.041509,0.085243
68,1955-09-01,-0.00048358,-0.033143,-0.65796,-0.58226,0.093768,0.018954,-0.065306,0.0412,0.085234
69,1955-10-01,-0.14948,-0.17933,-0.6812,-0.57645,0.10426,0.018501,-0.062404,0.040887,0.085225
70,1955-11-01,-0.34965,-0.2782,-0.70564,-0.56572,0.1149,0.017983,-0.059454,0.04057,0.085216
71,1955-12-01,-0.13751,-0.29412,-0.73047,-0.54997,0.12567,0.0174,-0.056458,0.040249,0.085207
72,1956-01-01,0.19896,-0.24019,-0.75453,-0.5292,0.13651,0.016751,-0.05342,0.039926,0.085198
73,1956-02-01,0.38392,-0.14264,-0.77563,-0.50355,0.14741,0.016036,-0.050339,0.039598,0.085188
74,1956-03-01,0.44154,-0.027949,-0.79118,-0.47319,0.15831,0.015254,-0.047219,0.039267,0.085179
75,1956-04-01,0.3931,0.080208,-0.79851,-0.43843,0.16918,0.014406,-0.044061,0.038933,0.08517
76,1956-05-01,0.24741,0.17069,-0.79478,-0.39969,0.17999,0.013489,-0.040868,0.038596,0.085161
77,1956-06-01,0.10645,0.23915,-0.77707,-0.35749,0.1907,0.012505,-0.03764,0.038255,0.085151
78,1956-07-01,-0.12741,0.28085,-0.74241,-0.31242,0.20126,0.011453,-0.03438,0.037911,0.085142
