,date,f0
0,1950-01-01,-1.5
1,1950-02-01,-1.3
2,1950-03-01,-1.2
3,1950-04-01,-1.2
4,1950-05-01,-1.1
5,1950-06-01,-0.9
6,1950-07-01,-0.5
7,1950-08-01,-0.4
8,1950-09-01,-0.4
9,1950-10-01,-0.4
10,1950-11-01,-0.6
11,1950-12-01,-0.8
12,1951-01-01,-0.8
13,1951-02-01,-0.5
14,1951-03-01,-0.2
15,1951-04-01,0.2
16,1951-05-01,0.4
17,1951-06-01,0.6
18,1951-07-01,0.7
19,1951-08-01,0.9
20,1951-09-01,1.0
21,1951-10-01,1.2
22,1951-11-01,1.0
23,1951-12-01,0.8
24,1952-01-01,0.5
25,1952-02-01,0.4
26,1952-03-01,0.3
27,1952-04-01,0.3
28,1952-05-01,0.2
29,1952-06-01,0.0
30,1952-07-01,-0.1
31,1952-08-01,0.0
32,1952-09-01,0.2
33,1952-10-01,0.1
34,1952-11-01,0.0
35,1952-12-01,0.1
36,1953-01-01,0.4
37,1953-02-01,0.6
38,1953-03-01,0.6
39,1953-04-01,0.7
40,1953-05-01,0.8
41,1953-06-01,0.8
42,1953-07-01,0.7
43,1953-08-01,0.7
44,1953-09-01,0.8
45,1953-10-01,0.8
46,1953-11-01,0.8
47,1953-12-01,0.8
48,1954-01-01,0.8
49,1954-02-01,0.5
50,1954-03-01,0.0
51,1954-04-01,-0.4
52,1954-05-01,-0.5
53,1954-06-01,-0.5
54,1954-07-01,-0.6
55,1954-08-01,-0.8
56,1954-09-01,-0.9
57,1954-10-01,-0.8
58,1954-11-01,-0.7
59,1954-12-01,-0.7
60,1955-01-01,-0.7
61,1955-02-01,-0.6
62,1955-03-01,-0.7
63,1955-04-01,-0.8
64,1955-05-01,-0.8
65,1955-06-01,-0.7
66,1955-07-01,-0.7
67,1955-08-01,-0.7
68,1955-09-01,-1.1
69,1955-10-01,-1.4
70,1955-11-01,-1.7
71,1955-12-01,-1.5
72,1956-01-01,-1.1
73,1956-02-01,-0.8
74,1956-03-01,-0.6
75,1956-04-01,-0.5
76,1956-05-01,-0.5
77,1956-06-01,-0.5
78,1956-07-01,-0.6
79,1956-08-01,-0.6
80,1956-09-01,-0.5
81,1956-10-01,-0.4
82,1956-11-01,-0.4
83,1956-12-01,-0.4
84,1957-01-01,-0.2
85,1957-02-01,0.1
86,1957-03-01,0.4
87,1957-04-01,0.7
88,1957-05-01,0.9
89,1957-06-01,1.1
90,1957-07-01,1.3
91,1957-08-01,1.3
92,1957-09-01,1.3
93,1957-10-01,1.4
94,1957-11-01,1.5
95,1957-12-01,1.7
96,1958-01-01,1.8
97,1958-02-01,1.7
98,1958-03-01,1.3
99,1958-04-01,0.9
100,1958-05-01,0.7
101,1958-06-01,0.6
102,1958-07-01,0.6
103,1958-08-01,0.4
104,1958-09-01,0.4
105,1958-10-01,0.4
106,1958-11-01,0.5
107,1958-12-01,0.6
108,1959-01-01,0.6
109,1959-02-01,0.6
110,1959-03-01,0.5
111,1959-04-01,0.3
112,1959-05-01,0.2
113,1959-06-01,-0.1
114,1959-07-01,-0.2
115,1959-08-01,-0.3
116,1959-09-01,-0.1
117,1959-10-01,0.0
118,1959-11-01,0.0
119,1959-12-01,0.0
120,1960-01-01,-0.1
121,1960-02-01,-0.1
122,1960-03-01,-0.1
123,1960-04-01,0.0
124,1960-05-01,0.0
125,1960-06-01,0.0
126,1960-07-01,0.1
127,1960-08-01,0.2
128,1960-09-01,0.3
129,1960-10-01,0.2
130,1960-11-01,0.1
131,1960-12-01,0.1
132,1961-01-01,0.0
133,1961-02-01,0.0
134,1961-03-01,0.0
135,1961-04-01,0.1
136,1961-05-01,0.2
137,1961-06-01,0.3
138,1961-07-01,0.1
139,1961-08-01,-0.1
140,1961-09-01,-0.3
141,1961-10-01,-0.3
142,1961-11-01,-0.2
143,1961-12-01,-0.2
144,1962-01-01,-0.2
145,1962-02-01,-0.2
146,1962-03-01,-0.2
147,1962-04-01,-0.3
148,1962-05-01,-0.3
149,1962-06-01,-0.2
150,1962-07-01,0.0
151,1962-08-01,-0.1
152,1962-09-01,-0.1
153,1962-10-01,-0.2
154,1962-11-01,-0.3
155,1962-12-01,-0.4
156,1963-01-01,-0.4
157,1963-02-01,-0.2
158,1963-03-01,0.2
159,1963-04-01,0.3
160,1963-05-01,0.3
161,1963-06-01,0.5
162,1963-07-01,0.9
163,1963-08-01,1.1
164,1963-09-01,1.2
165,1963-10-01,1.3
166,1963-11-01,1.4
167,1963-12-01,1.3
168,1964-01-01,1.1
169,1964-02-01,0.6
170,1964-03-01,0.1
171,1964-04-01,-0.3
172,1964-05-01,-0.6
173,1964-06-01,-0.6
174,1964-07-01,-0.6
175,1964-08-01,-0.7
176,1964-09-01,-0.8
177,1964-10-01,-0.8
178,1964-11-01,-0.8
179,1964-12-01,-0.8
180,1965-01-01,-0.6
181,1965-02-01,-0.3
182,1965-03-01,-0.1
183,1965-04-01,0.2
184,1965-05-01,0.5
185,1965-06-01,0.8
186,1965-07-01,1.2
187,1965-08-01,1.5
188,1965-09-01,1.9
189,1965-10-01,2.0
190,1965-11-01,2.0
191,1965-12-01,1.7
192,1966-01-01,1.4
193,1966-02-01,1.2
194,1966-03-01,1.0
195,1966-04-01,0.7
196,1966-05-01,0.4
197,1966-06-01,0.2
198,1966-07-01,0.2
199,1966-08-01,0.1
200,1966-09-01,-0.1
201,1966-10-01,-0.1
202,1966-11-01,-0.2
203,1966-12-01,-0.3
204,1967-01-01,-0.4
205,1967-02-01,-0.5
206,1967-03-01,-0.5
207,1967-04-01,-0.4
208,1967-05-01,-0.2
209,1967-06-01,0.0
210,1967-07-01,0.0
211,1967-08-01,-0.2
212,1967-09-01,-0.3
213,1967-10-01,-0.4
214,1967-11-01,-0.3
215,1967-12-01,-0.4
216,1968-01-01,-0.6
217,1968-02-01,-0.7
218,1968-03-01,-0.6
219,1968-04-01,-0.4
220,1968-05-01,0.0
221,1968-06-01,0.3
222,1968-07-01,0.6
223,1968-08-01,0.5
224,1968-09-01,0.4
225,1968-10-01,0.5
226,1968-11-01,0.7
227,1968-12-01,1.0
228,1969-01-01,1.1
229,1969-02-01,1.1
230,1969-03-01,0.9
231,1969-04-01,0.8
232,1969-05-01,0.6
233,1969-06-01,0.4
234,1969-07-01,0.4
235,1969-08-01,0.5
236,1969-09-01,0.8
237,1969-10-01,0.9
238,1969-11-01,0.8
239,1969-12-01,0.6
240,1970-01-01,0.5
241,1970-02-01,0.3
242,1970-03-01,0.3
243,1970-04-01,0.2
244,1970-05-01,0.0
245,1970-06-01,-0.3
246,1970-07-01,-0.6
247,1970-08-01,-0.8
248,1970-09-01,-0.8
249,1970-10-01,-0.7
250,1970-11-01,-0.9
251,1970-12-01,-1.1
252,1971-01-01,-1.4
253,1971-02-01,-1.4
254,1971-03-01,-1.1
255,1971-04-01,-0.8
256,1971-05-01,-0.7
257,1971-06-01,-0.7
258,1971-07-01,-0.8
259,1971-08-01,-0.8
260,1971-09-01,-0.8
261,1971-10-01,-0.9
262,1971-11-01,-1.0
263,1971-12-01,-0.9
264,1972-01-01,-0.7
265,1972-02-01,-0.4
266,1972-03-01,0.1
267,1972-04-01,0.4
268,1972-05-01,0.7
269,1972-06-01,0.9
270,1972-07-01,1.1
271,1972-08-01,1.4
272,1972-09-01,1.6
273,1972-10-01,1.8
274,1972-11-01,2.1
275,1972-12-01,2.1
276,1973-01-01,1.8
277,1973-02-01,1.2
278,1973-03-01,0.5
279,1973-04-01,-0.1
280,1973-05-01,-0.5
281,1973-06-01,-0.9
282,1973-07-01,-1.1
283,1973-08-01,-1.3
284,1973-09-01,-1.5
285,1973-10-01,-1.7
286,1973-11-01,-1.9
287,1973-12-01,-2.0
288,1974-01-01,-1.8
289,1974-02-01,-1.6
290,1974-03-01,-1.2
291,1974-04-01,-1.0
292,1974-05-01,-0.9
293,1974-06-01,-0.8
294,1974-07-01,-0.5
295,1974-08-01,-0.4
296,1974-09-01,-0.4
297,1974-10-01,-0.6
298,1974-11-01,-0.8
299,1974-12-01,-0.6
300,1975-01-01,-0.5
301,1975-02-01,-0.6
302,1975-03-01,-0.7
303,1975-04-01,-0.7
304,1975-05-01,-0.8
305,1975-06-01,-1.0
306,1975-07-01,-1.1
307,1975-08-01,-1.2
308,1975-09-01,-1.4
309,1975-10-01,-1.4
310,1975-11-01,-1.6
311,1975-12-01,-1.7
312,1976-01-01,-1.6
313,1976-02-01,-1.2
314,1976-03-01,-0.7
315,1976-04-01,-0.5
316,1976-05-01,-0.3
317,1976-06-01,0.0
318,1976-07-01,0.2
319,1976-08-01,0.4
320,1976-09-01,0.6
321,1976-10-01,0.8
322,1976-11-01,0.9
323,1976-12-01,0.8
324,1977-01-01,0.7
325,1977-02-01,0.6
326,1977-03-01,0.3
327,1977-04-01,0.2
328,1977-05-01,0.2
329,1977-06-01,0.3
330,1977-07-01,0.4
331,1977-08-01,0.4
332,1977-09-01,0.6
333,1977-10-01,0.7
334,1977-11-01,0.8
335,1977-12-01,0.8
336,1978-01-01,0.7
337,1978-02-01,0.4
338,1978-03-01,0.1
339,1978-04-01,-0.2
340,1978-05-01,-0.3
341,1978-06-01,-0.3
342,1978-07-01,-0.4
343,1978-08-01,-0.4
344,1978-09-01,-0.4
345,1978-10-01,-0.3
346,1978-11-01,-0.1
347,1978-12-01,0.0
348,1979-01-01,0.0
349,1979-02-01,0.1
350,1979-03-01,0.2
351,1979-04-01,0.3
352,1979-05-01,0.2
353,1979-06-01,0.0
354,1979-07-01,0.0
355,1979-08-01,0.2
356,1979-09-01,0.3
357,1979-10-01,0.5
358,1979-11-01,0.5
359,1979-12-01,0.6
360,1980-01-01,0.6
361,1980-02-01,0.5
362,1980-03-01,0.3
363,1980-04-01,0.4
364,1980-05-01,0.5
365,1980-06-01,0.5
366,1980-07-01,0.3
367,1980-08-01,0.0
368,1980-09-01,-0.1
369,1980-10-01,0.0
370,1980-11-01,0.1
371,1980-12-01,0.0
372,1981-01-01,-0.3
373,1981-02-01,-0.5
374,1981-03-01,-0.5
375,1981-04-01,-0.4
376,1981-05-01,-0.3
377,1981-06-01,-0.3
378,1981-07-01,-0.3
379,1981-08-01,-0.2
380,1981-09-01,-0.2
381,1981-10-01,-0.1
382,1981-11-01,-0.2
383,1981-12-01,-0.1
384,1982-01-01,0.0
385,1982-02-01,0.1
386,1982-03-01,0.2
387,1982-04-01,0.5
388,1982-05-01,0.7
389,1982-06-01,0.7
390,1982-07-01,0.8
391,1982-08-01,1.1
392,1982-09-01,1.6
393,1982-10-01,2.0
394,1982-11-01,2.2
395,1982-12-01,2.2
396,1983-01-01,2.2
397,1983-02-01,1.9
398,1983-03-01,1.5
399,1983-04-01,1.3
400,1983-05-01,1.1
401,1983-06-01,0.7
402,1983-07-01,0.3
403,1983-08-01,-0.1
404,1983-09-01,-0.5
405,1983-10-01,-0.8
406,1983-11-01,-1.0
407,1983-12-01,-0.9
408,1984-01-01,-0.6
409,1984-02-01,-0.4
410,1984-03-01,-0.3
411,1984-04-01,-0.4
412,1984-05-01,-0.5
413,1984-06-01,-0.4
414,1984-07-01,-0.3
415,1984-08-01,-0.2
416,1984-09-01,-0.2
417,1984-10-01,-0.6
418,1984-11-01,-0.9
419,1984-12-01,-1.1
420,1985-01-01,-1.0
421,1985-02-01,-0.8
422,1985-03-01,-0.8
423,1985-04-01,-0.8
424,1985-05-01,-0.8
